Form	Lemma	UPosTag	XPosTag	Feats
блин	блин	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
без	без	ADP	_	_	
кофе	кофе	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
не	не	PART	_	_	
начинаю	начинать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
свой	свой	DET	_	Case=Acc|Gender=Masc|Number=Sing	
день	день	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
никогда	никогда	ADV	_	Degree=Pos	
нда	нда	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
ну	ну	PART	_	_	
что	что	SCONJ	_	_	
жень	жень	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	
расскажи	рассказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	
как	как	SCONJ	_	_	
добрался	добраться	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	
мхм	мх	ADJ	_	Case=Dat|Degree=Pos|Number=Plur	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
гэ	гэ	X	_	Foreign=Yes	
жэ	жэ	X	_	Foreign=Yes	
мхм	мх	ADJ	_	Case=Dat|Degree=Pos|Number=Plur	
да	да	CCONJ	_	_	
а	а	X	_	Foreign=Yes	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
ам	о	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
уже	уже	ADV	_	Degree=Pos	
на	на	ADP	_	_	
метро	метро	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	
не	не	PART	_	_	
езжу	езж	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
езжу	ездить	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	
на	на	ADP	_	_	
машине	машина	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	
ам	о	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	
знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
э	э	X	_	Foreign=Yes	
этот	этот	DET	_	Case=Nom|Gender=Masc|Number=Sing	
момент	момент	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
когда	когда	SCONJ	_	_	
теплеет	теплеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
и	и	CCONJ	_	_	
люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	
достают	доставать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
легкую	легкий	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	
одежду	одежда	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
слишком	слишком	ADV	_	Degree=Pos	
рано	рано	ADV	_	Degree=Pos	
им	они	PRON	_	Case=Dat|Number=Plur|Person=3	
холодно	холодный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
недавно	недавно	ADV	_	Degree=Pos	
видел	видеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
как	как	SCONJ	_	_	
человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	
слишком	слишком	ADV	_	Degree=Pos	
рано	рано	ADV	_	Degree=Pos	
достал	достать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
кабриолет	кабриолет	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
ну	ну	PART	_	_	
ему	он	PRON	_	Case=Dat|Gender=Masc|Number=Sing|Person=3	
явно	явно	ADV	_	Degree=Pos	
было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
холодно	холодный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	
потому	потому	ADV	_	Degree=Pos	
что	что	SCONJ	_	_	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
в	в	ADP	_	_	
пуховике	пуховик	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	
и	и	CCONJ	_	_	
шапке	шапка	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	
нда	нда	ADV	_	Degree=Pos	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
бы	бы	AUX	_	_	
не	не	PART	_	_	
стал	стать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
вообще	вообще	ADV	_	Degree=Pos	
покупать	покупать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	
э	э	X	_	Foreign=Yes	
кабриолет	кабриолет	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
в	в	ADP	_	_	
Москве	Москва	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	
потому	потому	ADV	_	Degree=Pos	
что	что	SCONJ	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
живу	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
в	в	ADP	_	_	
плохом	плохой	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	
районе	район	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
